0006  |  hh
0000  |  hh
0000  |  ww
0028  |  harvey
0011  |  harvey
0026  |  ww
0000  |  ww
0000  |  w
0000  |  ww1
0004  |  11
0003  |  ww1
0002  |  ss
0011  |  1
0002  |  1
0014  |  1
0009  |  1
0018  |  1
0004  |  1
0004  |  1
0015  |  1
0025  |  1
0043  |  1
0008  |  1
0007  |  1
0000  |  1
0022  |  1s
0022  |  1s
0005  |  1
0004  |  1
0000  |  s1
0017  |  1
0000  |  1
0002  |  1
0000  |  s
0000  |  1
0000  |  1
0001  |  1
0001  |  1
0024  |  1
0003  |  1
0012  |  1
0000  |  1
0007  |  1
0000  |  1
0000  |  1
0000  |  1
0000  |  1
0002  |  1
0005  |  s
0015  |  1
0029  |  1
0000  |  55
0000  |  66
0000  |  sww
0034  |  44
0010  |  dd
0020  |  s
0014  |  1
0012  |  1
0039  |  aa
0010  |  1
0008  |  s1
0008  |  11
0003  |  11
0029  |  11
0017  |  11
0024  |  11
0002  |  11
0008  |  s1
0002  |  ss
0009  |  11
0000  |  11
0008  |  11
